iter	Logloss
0	0.6780470582
1	0.6635755847
2	0.6525203251
3	0.6332351436
4	0.6140799568
5	0.6012017318
6	0.5883982685
7	0.5704472538
8	0.5533056789
9	0.5372898028
10	0.5215674937
11	0.5136693253
12	0.499085952
13	0.4846926552
14	0.4777381306
15	0.464447005
16	0.4574083036
17	0.4432026528
18	0.43686453
19	0.4302116896
20	0.4184430158
21	0.4128218123
22	0.4016559493
23	0.3912142257
24	0.38107621
25	0.3701034292
26	0.3596136527
27	0.3505415661
28	0.3417730161
29	0.3335106784
30	0.3297202775
31	0.3214314739
32	0.3164973426
33	0.3116525577
34	0.3043799286
35	0.2973672866
36	0.2931759796
37	0.2889557012
38	0.2849164263
39	0.2783977909
40	0.2724785734
41	0.2664912442
42	0.2608477475
43	0.2550491692
44	0.2517506234
45	0.2486443255
46	0.2435635679
47	0.2387317812
48	0.2341258715
49	0.2295880575
